,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu
0,2020-08-01,45.0,57,0.0,0.0,158.0
1,2020-08-02,50.0,53,0.0,0.0,154.0
2,2020-08-03,73.0,59,0.0,0.0,153.0
3,2020-08-04,58.0,84,0.0,0.0,150.0
4,2020-08-05,54.0,50,0.0,0.0,143.0
5,2020-08-06,52.0,48,0.0,0.0,139.0
6,2020-08-07,52.0,67,0.0,0.0,138.0
7,2020-08-08,35.0,61,0.0,0.0,132.0
8,2020-08-09,37.0,34,0.0,0.0,126.0
9,2020-08-10,61.0,60,0.0,0.0,127.0
10,2020-08-11,33.0,80,0.0,0.0,127.0
11,2020-08-12,42.0,63,0.0,0.0,119.0
12,2020-08-13,30.0,53,0.0,0.0,113.0
13,2020-08-14,35.0,63,0.0,0.0,108.0
14,2020-08-15,39.0,33,0.0,0.0,105.0
15,2020-08-16,33.0,30,0.0,0.0,103.0
16,2020-08-17,32.0,43,0.0,0.0,100.0
17,2020-08-18,31.0,60,0.0,0.0,98.0
18,2020-08-19,31.0,39,0.0,0.0,97.0
19,2020-08-20,31.0,42,0.0,0.0,93.0
20,2020-08-21,33.0,44,0.0,0.0,93.0
21,2020-08-22,23.0,25,0.0,0.0,85.0
22,2020-08-23,31.0,29,0.0,0.0,81.0
23,2020-08-24,33.0,38,0.0,0.0,78.0
24,2020-08-25,28.0,37,0.0,0.0,75.0
25,2020-08-26,32.0,31,0.0,0.0,76.0
26,2020-08-27,27.0,37,0.0,0.0,72.0
27,2020-08-28,28.0,44,0.0,0.0,69.0
28,2020-08-29,25.0,33,0.0,0.0,68.0
29,2020-08-30,24.0,19,0.0,0.0,69.0
30,2020-08-31,27.0,40,0.0,0.0,67.0
31,2020-09-01,20.0,43,0.0,0.0,64.0
32,2020-09-02,30.0,29,0.0,0.0,62.0
33,2020-09-03,27.0,29,0.0,0.0,59.0
34,2020-09-04,20.0,31,0.0,0.0,57.0
35,2020-09-05,17.0,25,0.0,0.0,55.0
36,2020-09-06,12.0,26,0.0,0.0,53.0
37,2020-09-07,23.0,25,0.0,0.0,54.0
38,2020-09-08,18.0,33,0.0,0.0,53.0
39,2020-09-09,14.0,20,0.0,0.0,49.0
40,2020-09-10,17.0,22,0.0,0.0,50.0
41,2020-09-11,10.0,27,0.0,0.0,49.0
42,2020-09-12,9.0,16,0.0,0.0,47.0
43,2020-09-13,8.0,12,0.0,0.0,44.0
44,2020-09-14,14.0,12,0.0,0.0,44.0
45,2020-09-15,19.0,17,0.0,0.0,42.0
46,2020-09-16,17.0,11,0.0,0.0,41.0
47,2020-09-17,16.0,21,0.0,0.0,41.0
48,2020-09-18,18.0,12,0.0,0.0,40.0
49,2020-09-19,14.0,14,0.0,0.0,39.0
50,2020-09-20,13.0,16,0.0,0.0,40.0
51,2020-09-21,14.0,18,0.0,0.0,39.0
52,2020-09-22,13.0,20,0.0,0.0,36.0
53,2020-09-23,19.0,13,0.0,0.0,34.0
54,2020-09-24,16.0,15,0.0,0.0,31.0
55,2020-09-25,16.0,14,0.0,0.0,31.0
56,2020-09-26,10.0,19,0.0,0.0,29.0
57,2020-09-27,10.0,13,0.0,0.0,28.0
58,2020-09-28,17.0,16,0.0,0.0,29.0
59,2020-09-29,14.0,20,0.0,0.0,27.0
60,2020-09-30,20.0,18,0.0,0.0,32.0
61,2020-10-01,13.0,19,0.0,0.0,32.0
62,2020-10-02,18.0,11,0.0,0.0,26.0
63,2020-10-03,16.0,14,0.0,0.0,25.0
64,2020-10-04,12.0,13,0.0,0.0,27.0
65,2020-10-05,15.0,9,0.0,0.0,27.0
66,2020-10-06,15.0,22,0.0,0.0,29.0
67,2020-10-07,20.0,19,0.0,0.0,27.0
68,2020-10-08,17.0,15,0.0,0.0,27.0
69,2020-10-09,9.0,18,0.0,0.0,28.0
70,2020-10-10,15.0,12,0.0,0.0,30.0
71,2020-10-11,23.0,5,0.0,0.0,29.0
72,2020-10-12,19.0,20,0.0,0.0,29.0
73,2020-10-13,13.0,24,0.0,0.0,28.0
74,2020-10-14,16.0,14,0.0,0.0,28.0
75,2020-10-15,14.0,19,0.0,0.0,28.0
76,2020-10-16,19.0,11,0.0,0.0,30.0
77,2020-10-17,10.0,19,0.0,0.0,29.0
78,2020-10-18,17.0,11,0.0,0.0,29.0
79,2020-10-19,21.0,18,0.0,0.0,28.0
80,2020-10-20,16.0,11,0.0,0.0,29.0
81,2020-10-21,17.0,20,0.0,0.0,29.0
82,2020-10-22,20.0,14,0.0,0.0,29.0
83,2020-10-23,23.0,14,0.0,0.0,27.0
84,2020-10-24,14.0,11,0.0,0.0,27.0
85,2020-10-25,22.0,11,0.0,0.0,26.0
86,2020-10-26,23.0,18,0.0,0.0,27.0
87,2020-10-27,19.0,27,0.0,0.0,26.0
88,2020-10-28,20.0,20,0.0,0.0,23.0
89,2020-10-29,14.0,30,0.0,0.0,23.0
90,2020-10-30,13.0,18,0.0,0.0,21.0
91,2020-10-31,27.0,16,0.0,0.0,20.0
92,2020-11-01,12.0,16,0.0,0.0,20.0
93,2020-11-02,18.0,19,0.0,0.0,21.0
94,2020-11-03,21.0,19,0.0,0.0,22.0
95,2020-11-04,23.0,17,0.0,0.0,22.0
96,2020-11-05,18.0,15,0.0,0.0,24.0
97,2020-11-06,31.0,21,0.0,0.0,26.0
98,2020-11-07,10.0,20,0.0,0.0,25.0
99,2020-11-08,18.0,11,0.0,0.0,26.0
100,2020-11-09,30.0,24,0.0,0.0,26.0
101,2020-11-10,29.0,20,0.0,0.0,27.0
102,2020-11-11,33.0,10,0.0,0.0,24.0
103,2020-11-12,28.0,26,0.0,0.0,26.0
104,2020-11-13,31.0,37,0.0,0.0,32.0
105,2020-11-14,22.0,26,0.0,0.0,36.0
106,2020-11-15,25.0,19,0.0,0.0,38.0
107,2020-11-16,28.0,21,0.0,0.0,39.0
108,2020-11-17,25.0,35,0.0,0.0,40.0
109,2020-11-18,31.0,26,0.0,0.0,43.0
110,2020-11-19,33.0,31,0.0,0.0,47.0
111,2020-11-20,29.0,30,0.0,0.0,48.0
112,2020-11-21,34.0,19,0.0,0.0,52.0
113,2020-11-22,25.0,31,0.0,0.0,54.0
114,2020-11-23,44.0,24,0.0,0.0,61.0
115,2020-11-24,35.0,34,0.0,0.0,60.0
116,2020-11-25,39.0,34,0.0,0.0,63.0
117,2020-11-26,21.0,30,0.0,0.0,63.0
118,2020-11-27,40.0,16,0.0,0.0,64.0
119,2020-11-28,50.0,33,0.0,0.0,64.0
120,2020-11-29,27.0,22,0.0,0.0,65.0
121,,, ,,,
