Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-03-23,51,50.0,15,16.0,6,6.0
2020-03-24,61,69.0,19,17.0,13,8.0
2020-03-25,65,85.0,18,19.0,15,10.0
2020-03-26,83,98.0,25,22.0,21,12.0
2020-03-27,91,110.0,31,26.0,27,15.0
2020-03-28,110,121.0,40,29.0,29,18.0
2020-03-29,113,130.0,41,33.0,31,20.0
2020-03-30,127,137.0,40,37.0,30,23.0
2020-03-31,127,143.0,41,40.0,32,26.0
2020-04-01,157,148.0,47,44.0,34,29.0
2020-04-02,170,152.0,50,47.0,36,32.0
2020-04-03,168,155.0,58,51.0,41,34.0
2020-04-04,169,158.0,60,54.0,42,37.0
2020-04-05,168,159.0,60,56.0,43,39.0
2020-04-06,172,160.0,65,59.0,48,41.0
2020-04-07,161,160.0,66,61.0,50,43.0
2020-04-08,166,160.0,61,64.0,48,45.0
2020-04-09,164,159.0,62,65.0,45,47.0
2020-04-10,159,158.0,70,67.0,47,48.0
2020-04-11,157,156.0,65,68.0,49,50.0
2020-04-12,155,154.0,65,70.0,48,51.0
2020-04-13,148,152.0,67,70.0,47,52.0
2020-04-14,150,150.0,61,71.0,47,53.0
2020-04-15,148,147.0,61,72.0,49,53.0
2020-04-16,146,144.0,62,72.0,47,54.0
2020-04-17,132,141.0,62,72.0,45,54.0
2020-04-18,131,138.0,61,72.0,39,55.0
2020-04-19,122,135.0,56,72.0,39,55.0
2020-04-20,125,132.0,56,71.0,37,55.0
2020-04-21,126,128.0,57,71.0,33,55.0
2020-04-22,117,125.0,50,70.0,31,54.0
2020-04-23,100,122.0,49,69.0,31,54.0
2020-04-24,92,118.0,46,68.0,26,54.0
2020-04-25,86,115.0,37,67.0,25,53.0
2020-04-26,76,111.0,34,66.0,24,53.0
2020-04-27,65,108.0,37,65.0,17,52.0
2020-04-28,66,105.0,36,64.0,16,51.0
2020-04-29,68,101.0,26,63.0,14,50.0
2020-04-30,62,98.0,24,62.0,14,50.0
2020-05-01,52,95.0,23,60.0,9,49.0
2020-05-02,50,92.0,16,59.0,6,48.0
2020-05-03,49,89.0,18,58.0,7,47.0
2020-05-04,,85.0,,56.0,,46.0
2020-05-05,,83.0,,55.0,,45.0
2020-05-06,,80.0,,53.0,,44.0
2020-05-07,,77.0,,52.0,,43.0
2020-05-08,,74.0,,51.0,,42.0
2020-05-09,,71.0,,49.0,,41.0
2020-05-10,,69.0,,48.0,,40.0
2020-05-11,,66.0,,46.0,,39.0
2020-05-12,,64.0,,45.0,,38.0
2020-05-13,,61.0,,44.0,,37.0
2020-05-14,,59.0,,42.0,,36.0
2020-05-15,,57.0,,41.0,,35.0
2020-05-16,,54.0,,40.0,,34.0
2020-05-17,,52.0,,38.0,,33.0
2020-05-18,,50.0,,37.0,,32.0
2020-05-19,,48.0,,36.0,,31.0
2020-05-20,,46.0,,35.0,,30.0
2020-05-21,,44.0,,33.0,,29.0
2020-05-22,,43.0,,32.0,,28.0
2020-05-23,,41.0,,31.0,,27.0
2020-05-24,,39.0,,30.0,,26.0
2020-05-25,,38.0,,29.0,,26.0
2020-05-26,,36.0,,28.0,,25.0
2020-05-27,,35.0,,27.0,,24.0
2020-05-28,,33.0,,26.0,,23.0
2020-05-29,,32.0,,25.0,,22.0
2020-05-30,,30.0,,24.0,,21.0
2020-05-31,,29.0,,23.0,,21.0
2020-06-01,,28.0,,22.0,,20.0
2020-06-02,,27.0,,21.0,,19.0
2020-06-03,,26.0,,21.0,,19.0
2020-06-04,,25.0,,20.0,,18.0
2020-06-05,,23.0,,19.0,,17.0
2020-06-06,,22.0,,18.0,,17.0
2020-06-07,,22.0,,17.0,,16.0
2020-06-08,,21.0,,17.0,,15.0
2020-06-09,,20.0,,16.0,,15.0
2020-06-11,,19.0,,15.0,,14.0
