Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2021-01-24,60.0,53.0,17,22.0,0,23.0
2021-01-25,62.0,53.0,17,22.0,0,23.0
2021-01-26,51.0,52.0,17,22.0,0,23.0
2021-01-27,47.0,52.0,16,22.0,0,23.0
2021-01-28,51.0,51.0,15,22.0,0,23.0
2021-01-29,47.0,51.0,16,22.0,0,23.0
2021-01-30,47.0,50.0,15,22.0,0,23.0
2021-01-31,48.0,50.0,16,22.0,0,22.0
2021-02-01,49.0,49.0,16,22.0,0,22.0
2021-02-02,44.0,49.0,13,22.0,0,22.0
2021-02-03,42.0,48.0,13,21.0,0,22.0
2021-02-04,37.0,48.0,13,21.0,0,22.0
2021-02-05,43.0,47.0,13,21.0,0,22.0
2021-02-06,49.0,47.0,12,21.0,0,21.0
2021-02-07,49.0,46.0,12,21.0,0,21.0
2021-02-08,48.0,45.0,12,21.0,0,21.0
2021-02-09,46.0,45.0,11,21.0,0,21.0
2021-02-10,42.0,44.0,11,21.0,0,21.0
2021-02-11,45.0,44.0,11,21.0,0,20.0
2021-02-12,37.0,43.0,11,21.0,0,20.0
2021-02-13,35.0,43.0,12,21.0,0,20.0
2021-02-14,34.0,42.0,13,20.0,0,20.0
2021-02-15,30.0,42.0,13,20.0,0,20.0
2021-02-16,34.0,41.0,12,20.0,0,19.0
2021-02-17,38.0,41.0,11,20.0,0,19.0
2021-02-18,36.0,40.0,11,20.0,0,19.0
2021-02-19,44.0,40.0,10,20.0,0,19.0
2021-02-20,41.0,39.0,10,20.0,0,19.0
2021-02-21,47.0,39.0,10,19.0,0,18.0
2021-02-22,49.0,38.0,11,19.0,0,18.0
2021-02-23,42.0,38.0,11,19.0,0,18.0
2021-02-24,43.0,37.0,10,19.0,0,18.0
2021-02-25,38.0,37.0,10,19.0,0,18.0
2021-02-26,37.0,36.0,9,19.0,0,17.0
2021-02-27,37.0,36.0,9,19.0,0,17.0
2021-02-28,30.0,35.0,9,18.0,0,17.0
2021-03-01,27.0,35.0,9,18.0,0,17.0
2021-03-02,24.0,35.0,9,18.0,0,17.0
2021-03-03,22.0,34.0,8,18.0,0,16.0
2021-03-04,25.0,34.0,8,18.0,0,16.0
2021-03-05,21.0,33.0,8,18.0,0,16.0
2021-03-06,28.0,33.0,8,18.0,0,16.0
2021-03-07,29.0,33.0,8,17.0,0,16.0
2021-03-08,28.0,32.0,8,17.0,0,15.0
2021-03-09,32.0,32.0,8,17.0,0,15.0
2021-03-10,31.0,31.0,7,17.0,0,15.0
2021-03-11,27.0,31.0,7,17.0,0,15.0
2021-03-12,26.0,31.0,6,17.0,0,15.0
2021-03-13,32.0,30.0,7,16.0,0,15.0
2021-03-14,33.0,30.0,6,16.0,0,14.0
2021-03-15,33.0,30.0,7,16.0,0,14.0
2021-03-16,28.0,29.0,6,16.0,0,14.0
2021-03-17,21.0,29.0,6,16.0,0,14.0
